1943		Genre:	Horror	Mean:	6.01		Standard Deviation:	0.89
1943		Genre:	Music	Mean:	5.07		Standard Deviation:	2.66
1943		Genre:	Mystery	Mean:	5.97		Standard Deviation:	2.1
1943		Genre:	Romance	Mean:	5.89		Standard Deviation:	1.98
1943		Genre:	Thriller	Mean:	6.41		Standard Deviation:	1.13
1943		Genre:	War	Mean:	5.56		Standard Deviation:	2.17
1943		Genre:	Western	Mean:	3.34		Standard Deviation:	3.33
1943		Language:	English	Mean:	5.36		Standard Deviation:	2.33
1944		All Languages All		Mean:	5.63		Standard Deviation:	1.93
1944		Genre:	Comedy	Mean:	5.64		Standard Deviation:	2.15
1944		Genre:	Crime	Mean:	5.98		Standard Deviation:	2.25
1944		Genre:	Drama	Mean:	5.87		Standard Deviation:	1.68
1944		Genre:	Music	Mean:	4.77		Standard Deviation:	3.26
1944		Genre:	Mystery	Mean:	6.27		Standard Deviation:	1.74
1944		Genre:	Romance	Mean:	5.69		Standard Deviation:	1.5
1944		Genre:	Thriller	Mean:	6.23		Standard Deviation:	1.21
1944		Genre:	War	Mean:	5.24		Standard Deviation:	2.13
1944		Language:	English	Mean:	5.58		Standard Deviation:	2.0
1945		All Languages All		Mean:	5.24		Standard Deviation:	1.8
1945		Genre:	Action	Mean:	5.0		Standard Deviation:	0.88
1945		Genre:	Comedy	Mean:	4.53		Standard Deviation:	2.22
1945		Genre:	Crime	Mean:	5.22		Standard Deviation:	1.68
1945		Genre:	Drama	Mean:	5.26		Standard Deviation:	1.9
1945		Genre:	Music	Mean:	4.43		Standard Deviation:	1.91
1945		Genre:	Mystery	Mean:	5.3		Standard Deviation:	1.68
1945		Genre:	Romance	Mean:	5.06		Standard Deviation:	1.91
1945		Genre:	Thriller	Mean:	5.46		Standard Deviation:	1.5
1945		Genre:	War	Mean:	4.4		Standard Deviation:	2.24
1945		Language:	English	Mean:	5.17		Standard Deviation:	1.78
1946		All Languages All		Mean:	5.89		Standard Deviation:	1.61
1946		Genre:	Comedy	Mean:	5.26		Standard Deviation:	2.45
1946		Genre:	Crime	Mean:	6.21		Standard Deviation:	0.74
1946		Genre:	Drama	Mean:	6.23		Standard Deviation:	1.06
1946		Genre:	Music	Mean:	5.0		Standard Deviation:	2.74
1946		Genre:	Mystery	Mean:	6.29		Standard Deviation:	0.79
1946		Genre:	Romance	Mean:	5.99		Standard Deviation:	1.66
