,model and manufacturer,age_depre_rate,mileage_depre_rate (*10**6),age_const,mileage_const,model,manufacturer,age_0_price,mileage_0_price
124,gmc sierra 1500 sle,-0.1341,-8.118,10.9915,10.834,sierra 1500 sle,gmc,59367.36834862091,50716.166265180735
125,dodge charger,0.1802,26.729,7.1415,6.8484,charger,dodge,1263.3219514987072,942.3719047443659
126,dodge grand caravan,-0.1439,-9.814,10.1671,10.1817,grand caravan,dodge,26032.473019825513,26415.335219084845
127,dodge durango,0.0374,7.745,9.0251,8.4626,durango,dodge,8309.045336811358,4734.351322825679
128,dodge challenger,-0.0643,-7.162,10.4387,10.4924,challenger,dodge,34156.22047675243,36040.5509937411
129,dodge journey,-0.1332,-8.08,10.1666,10.0792,journey,dodge,26019.460036832483,23841.90438714491
130,dodge dart,-0.0971,-5.388,9.7308,9.5668,dart,dodge,16828.009344415794,14282.63867519848
131,dodge grand caravan sxt,-0.1158,-12.361,9.8711,10.3143,grand caravan sxt,dodge,19362.626152420748,30160.84985677723
132,dodge avenger,-0.0858,-7.438,9.5416,9.661,avenger,dodge,13927.213348607733,15693.470294263194
133,dodge dakota,-0.1401,-7.688,11.0149,10.0971,dakota,dodge,60772.94588928658,24272.51696055364
134,dodge nitro,-0.1493,-7.252,10.5934,9.8997,nitro,dodge,39870.819720659354,19924.392223875795
135,dodge caliber,-0.0858,-4.359,9.5433,9.0772,caliber,dodge,13950.909747532563,8753.422099685185
136,dodge journey sxt,-0.1212,-10.747,10.045,10.1497,journey sxt,dodge,23040.296876694225,25583.426027512116
137,dodge grand caravan se,-0.0755,-2.088,9.5469,9.2094,grand caravan se,dodge,14001.22353309883,9990.60070034982
138,dodge dart sxt,0.0132,-3.345,8.6629,9.1663,dart sxt,dodge,5784.284788968437,9569.153241305246
139,dodge charger sxt,-0.1089,-8.499,10.3251,10.1223,charger sxt,dodge,30488.352365459155,24891.95654634462
140,dodge journey se,-0.178,-6.846,10.2628,9.8621,journey se,dodge,28646.885279928927,19189.144356132794
141,bmw 3 series,-0.0988,-8.346,10.3649,10.2287,3 series,bmw,31726.2597428278,27686.49422033981
142,bmw x5,-0.1565,-9.873,10.9738,10.7431,x5,bmw,58325.81090454936,46309.38873635631
143,bmw 5 series,-0.1459,-9.489,10.84,10.5736,5 series,bmw,51021.377982288555,39089.14164044048
144,bmw x3,-0.1657,-12.484,10.7922,10.6802,x3,bmw,48639.926230683945,43486.24673178398
145,bmw 328i,-0.1349,-10.08,10.5377,10.3064,328i,bmw,37710.73194868531,29923.51783870309
146,bmw x1,-0.1298,-8.526,10.5235,10.3269,x1,bmw,37179.0236185999,30543.280820495813
147,bmw 3-series,-0.1295,-14.013,10.5723,10.6947,3-series,bmw,39038.358772324085,44121.39097695486
148,bmw x3 xdrive28i,-0.0917,-10.285,10.344,10.355,x3 xdrive28i,bmw,31070.062065894992,31413.719398746096
149,bmw 7 series,-0.2248,-34.183,10.9705,9.7445,7 series,bmw,58133.65296355023,17060.139533531492
150,bmw 535i,-0.1021,-8.205,10.5289,10.4702,535i,bmw,37380.33339334965,35249.266517156655
151,bmw 528i,-0.1164,-10.278,10.4633,10.4087,528i,bmw,35006.88376035208,33146.75160456246
152,bmw 4 series,-0.1584,-6.531,10.9,10.4513,4 series,bmw,54176.36379669875,34589.311599049564
153,bmw 335i,-0.0918,13.001,10.3998,8.178,335i,bmw,32853.05440645715,3561.724084454581
154,bmw x6,-0.1203,-8.865,11.02,10.8313,x6,bmw,61083.679610796666,50579.41731042869
155,bmw x5 xdrive35i,-0.1659,-5.928,11.0882,10.297,x5 xdrive35i,bmw,65394.92924766719,29643.554659421097
156,bmw 6 series,1.1777,146.61,-1.2313,-2.2046,6 series,bmw,0.2919128442101094,0.11029463433582516
157,hyundai sonata,-0.1186,-7.564,10.0043,9.8474,sonata,hyundai,22121.383524591078,18909.127103298502
158,hyundai elantra,-0.1105,-7.096,9.822,9.7621,elantra,hyundai,18434.883663197972,17363.05583352251
159,hyundai santa fe,-0.1275,-10.363,10.3297,10.3422,santa fe,hyundai,30628.921848279988,31014.186257490433
160,hyundai tucson,-0.1222,-8.459,10.2683,10.1864,tucson,hyundai,28804.877228556077,26539.77950961622
161,hyundai veloster,-0.1095,-5.057,9.9749,9.6868,veloster,hyundai,21480.482260995923,16103.630138532097
162,hyundai accent,-0.1017,-9.728,9.6426,9.6446,accent,hyundai,15407.350812420473,15438.196349300359
163,hyundai santa fe sport,-0.1005,-6.423,10.143,10.1442,santa fe sport,hyundai,25412.590012845532,25443.103425246754
164,hyundai genesis,-0.0689,-4.163,10.0234,9.8553,genesis,hyundai,22547.962813836028,19059.100823622317
165,hyundai sonata gls,-0.0832,-2.916,9.5977,9.0915,sonata gls,hyundai,14730.861590900373,8879.495310784794
166,hyundai elantra gls,-0.0894,-3.42,9.6606,9.114,elantra gls,hyundai,15687.194161455745,9081.548529944746
167,hyundai elantra gt,0.3471,9.371,6.0768,7.3053,elantra gt,hyundai,435.6329364999158,1488.1663447923809
168,hyundai elantra se,-0.0775,-4.386,9.5589,9.526,elantra se,hyundai,14170.250348068907,13711.634705701255
169,hyundai sonata hybrid,-0.0987,-5.66,10.0187,9.7959,sonata hybrid,hyundai,22442.236041152108,17959.95794031206
170,hyundai sonata se,-0.0848,-8.555,9.8102,9.8808,sonata se,hyundai,18218.630439245986,19551.357493293806
171,hyundai kona,-0.0102,1.869,9.8413,9.807,kona,hyundai,18794.132518032267,18160.424001809788
172,hyundai santa fe gls,-0.038,-12.937,9.3269,10.3213,santa fe gls,hyundai,11236.245079786433,30372.716473813027
173,mercedes-benz c-class,-0.1341,-11.033,10.6201,10.4509,c-class,mercedes-benz,40949.70969496328,34575.47864118599
174,mercedes-benz e-class,-0.138,-10.962,10.8124,10.6296,e-class,mercedes-benz,49632.443415446745,41340.58565818214
175,mercedes-benz s-class,-0.1434,-17.38,11.4871,11.4429,s-class,mercedes-benz,97450.51600538149,93237.00768273928
176,mercedes-benz gl-class,-0.1458,-3.442,11.0637,10.2531,gl-class,mercedes-benz,63812.22082685643,28370.353838438376
177,mercedes-benz m-class,-0.1202,-11.293,10.7492,10.8387,m-class,mercedes-benz,46592.73934839232,50955.09328529969
178,mercedes-benz glc,1.6829,334.505,2.413,-2.6511,glc,mercedes-benz,11.167413181466076,0.07057353945437853
179,mercedes-benz cls-class,-0.1027,-9.544,11.0053,10.8436,cls-class,mercedes-benz,60192.31708622643,51205.3859586537
180,mercedes-benz cla-class,0.0255,5.639,9.8963,9.8262,cla-class,mercedes-benz,19856.7643228945,18512.472998130488
181,mercedes-benz gle,-2.8339,-156.667,19.0574,14.3471,gle,mercedes-benz,189026920.61554545,1701634.8102115875
182,mercedes-benz sl-class,-0.1065,-14.99,11.3297,9.4671,sl-class,mercedes-benz,83258.04168547172,12927.343522991732
183,mercedes-benz benz e350,-0.1013,-2.535,10.22,9.3449,benz e350,mercedes-benz,27446.666483987545,11440.328733880537
184,mercedes-benz benz c300,-0.0912,-9.117,10.1808,10.2026,benz c300,mercedes-benz,26391.572112389702,26973.225369719326
185,mercedes-benz gla,-0.364,-3.912,11.3941,10.2316,gla,mercedes-benz,88796.27678460864,27766.901587909626
186,mercedes-benz glk-class,-0.1211,-5.492,10.627,10.1539,glk-class,mercedes-benz,41233.23974562874,25691.102378881373
187,mercedes-benz cla,-0.1219,-7.979,10.6215,10.4309,cla,mercedes-benz,41007.0794379859,33890.83829303652
188,mercedes-benz gla-class,0.0192,-6.989,9.7974,10.3107,gla-class,mercedes-benz,17986.918092281478,30052.4660052801
189,subaru forester,-0.1175,-8.089,10.2458,10.0877,forester,subaru,28164.004347422844,24045.424308744383
